,sample_index,landmark_index,pred,type1_1,type1_0,type0_0,type0_1,type1_support,type0_support,type1_precision,type1_recall,type0_precision,type0_recall,type1_f1,type0_f1,precision,recall,f1
40,152,41,1,25,10,33,10,35,43,0.7142857140000001,0.7142857140000001,0.76744186,0.76744186,0.7142857140000001,0.76744186,0.7435897440000001,0.7435897440000001,0.7435897440000001
41,152,42,0,15,20,34,9,35,43,0.625,0.428571429,0.62962963,0.790697674,0.508474576,0.701030928,0.627552232,0.628205128,0.614627437
42,152,43,1,27,8,23,20,35,43,0.574468085,0.771428571,0.7419354840000001,0.534883721,0.658536585,0.621621622,0.6667898560000001,0.641025641,0.638186028
43,152,44,1,19,16,32,11,35,43,0.6333333329999999,0.542857143,0.666666667,0.744186047,0.584615385,0.703296703,0.651709402,0.653846154,0.650042265
44,152,45,1,24,11,28,15,35,43,0.615384615,0.685714286,0.7179487179999999,0.651162791,0.648648649,0.682926829,0.671926364,0.666666667,0.667545594
45,152,46,1,22,13,31,12,35,43,0.647058824,0.628571429,0.704545455,0.7209302329999999,0.637681159,0.712643678,0.6787501709999999,0.6794871790000001,0.6790066509999999
46,152,47,1,28,7,28,15,35,43,0.651162791,0.8,0.8,0.651162791,0.7179487179999999,0.7179487179999999,0.733214073,0.7179487179999999,0.7179487179999999
47,152,48,1,24,11,28,15,35,43,0.615384615,0.685714286,0.7179487179999999,0.651162791,0.648648649,0.682926829,0.671926364,0.666666667,0.667545594
48,152,49,1,26,9,35,8,35,43,0.764705882,0.7428571429999999,0.795454545,0.813953488,0.7536231879999999,0.8045977009999999,0.781657068,0.7820512820000001,0.781724522
49,152,50,1,23,12,33,10,35,43,0.696969697,0.6571428570000001,0.7333333329999999,0.76744186,0.6764705879999999,0.75,0.717016317,0.7179487179999999,0.717006033
50,152,51,1,18,17,36,7,35,43,0.72,0.514285714,0.679245283,0.837209302,0.6,0.75,0.6975326559999999,0.692307692,0.682692308
51,152,52,1,15,20,38,5,35,43,0.75,0.428571429,0.655172414,0.88372093,0.545454545,0.752475248,0.697723254,0.6794871790000001,0.6595813429999999
52,152,53,1,26,9,33,10,35,43,0.7222222220000001,0.7428571429999999,0.7857142859999999,0.76744186,0.732394366,0.776470588,0.7572242570000001,0.7564102559999999,0.756692796
53,152,54,1,26,9,31,12,35,43,0.684210526,0.7428571429999999,0.775,0.7209302329999999,0.712328767,0.746987952,0.734261134,0.7307692309999999,0.731435754
54,152,55,1,24,11,34,9,35,43,0.727272727,0.685714286,0.7555555559999999,0.790697674,0.705882353,0.772727273,0.7428645429999999,0.7435897440000001,0.7427327570000001
55,152,56,1,18,17,37,6,35,43,0.75,0.514285714,0.685185185,0.860465116,0.610169492,0.7628865979999999,0.714268756,0.705128205,0.694359691
56,152,57,1,24,11,30,13,35,43,0.648648649,0.685714286,0.731707317,0.697674419,0.666666667,0.7142857140000001,0.694437402,0.692307692,0.692918193
57,152,58,1,23,12,35,8,35,43,0.7419354840000001,0.6571428570000001,0.7446808509999999,0.813953488,0.696969697,0.7777777779999999,0.7434489559999999,0.7435897440000001,0.741517742
58,152,59,1,16,19,36,7,35,43,0.695652174,0.457142857,0.654545455,0.837209302,0.551724138,0.734693878,0.672990777,0.666666667,0.652592071
59,152,60,1,14,21,39,4,35,43,0.7777777779999999,0.4,0.65,0.9069767440000001,0.528301887,0.757281553,0.707336182,0.6794871790000001,0.6545342670000001
60,152,61,1,24,11,29,14,35,43,0.6315789470000001,0.685714286,0.725,0.674418605,0.6575342470000001,0.6987951809999999,0.6830802970000001,0.6794871790000001,0.680280659
61,152,62,1,27,8,32,11,35,43,0.7105263159999999,0.771428571,0.8,0.744186047,0.739726027,0.771084337,0.759851552,0.7564102559999999,0.757013301
62,152,63,1,28,7,34,9,35,43,0.756756757,0.8,0.8292682929999999,0.790697674,0.7777777779999999,0.80952381,0.796731065,0.794871795,0.795278795
63,152,64,1,20,15,35,8,35,43,0.7142857140000001,0.571428571,0.7,0.813953488,0.634920635,0.752688172,0.706410256,0.705128205,0.699843764
64,152,65,1,21,14,35,8,35,43,0.7241379309999999,0.6,0.7142857140000001,0.813953488,0.65625,0.760869565,0.718706581,0.7179487179999999,0.7139248890000001
65,152,66,1,12,23,40,3,35,43,0.8,0.342857143,0.634920635,0.9302325579999999,0.48,0.754716981,0.7089947090000001,0.666666667,0.631446541
66,152,67,1,13,22,40,3,35,43,0.8125,0.37142857100000004,0.64516129,0.9302325579999999,0.509803922,0.761904762,0.720249173,0.6794871790000001,0.64878259
67,152,68,1,13,22,40,3,35,43,0.8125,0.37142857100000004,0.64516129,0.9302325579999999,0.509803922,0.761904762,0.720249173,0.6794871790000001,0.64878259
68,152,69,1,21,14,34,9,35,43,0.7,0.6,0.708333333,0.790697674,0.646153846,0.747252747,0.704594017,0.705128205,0.7018878559999999
69,152,70,1,22,13,31,12,35,43,0.647058824,0.628571429,0.704545455,0.7209302329999999,0.637681159,0.712643678,0.6787501709999999,0.6794871790000001,0.6790066509999999
70,152,71,1,21,14,32,11,35,43,0.65625,0.6,0.695652174,0.744186047,0.626865672,0.719101124,0.677971711,0.6794871790000001,0.677713421
71,152,72,1,22,13,36,7,35,43,0.75862069,0.628571429,0.734693878,0.837209302,0.6875,0.7826086959999999,0.745430268,0.7435897440000001,0.739931717
72,152,73,1,18,17,32,11,35,43,0.620689655,0.514285714,0.653061224,0.744186047,0.5625,0.695652174,0.63853552,0.641025641,0.635904404
73,152,74,1,14,21,38,5,35,43,0.736842105,0.4,0.644067797,0.88372093,0.518518519,0.745098039,0.685697294,0.666666667,0.643427741
74,152,75,1,11,24,39,4,35,43,0.7333333329999999,0.314285714,0.6190476189999999,0.9069767440000001,0.44,0.735849057,0.67032967,0.641025641,0.603096275
75,152,76,0,11,24,42,1,35,43,0.916666667,0.314285714,0.636363636,0.9767441859999999,0.46808510600000003,0.770642202,0.762140637,0.6794871790000001,0.634879403
76,152,77,1,13,22,36,7,35,43,0.65,0.37142857100000004,0.620689655,0.837209302,0.47272727299999995,0.712871287,0.633841733,0.628205128,0.605114358
77,152,78,1,18,17,30,13,35,43,0.580645161,0.514285714,0.638297872,0.697674419,0.545454545,0.666666667,0.612428066,0.615384615,0.612276612
78,152,79,1,25,10,33,10,35,43,0.7142857140000001,0.7142857140000001,0.76744186,0.76744186,0.7142857140000001,0.76744186,0.7435897440000001,0.7435897440000001,0.7435897440000001
79,152,80,0,12,23,40,3,35,43,0.8,0.342857143,0.634920635,0.9302325579999999,0.48,0.754716981,0.7089947090000001,0.666666667,0.631446541
80,152,81,1,20,15,34,9,35,43,0.689655172,0.571428571,0.6938775509999999,0.790697674,0.625,0.739130435,0.691982894,0.692307692,0.68791806
81,152,82,1,19,16,36,7,35,43,0.7307692309999999,0.542857143,0.692307692,0.837209302,0.62295082,0.757894737,0.709566075,0.705128205,0.6973429790000001
82,152,83,1,21,14,32,11,35,43,0.65625,0.6,0.695652174,0.744186047,0.626865672,0.719101124,0.677971711,0.6794871790000001,0.677713421
83,152,84,1,11,24,41,2,35,43,0.846153846,0.314285714,0.630769231,0.953488372,0.45833333299999995,0.759259259,0.727416174,0.666666667,0.624228395
84,152,85,1,21,14,32,11,35,43,0.65625,0.6,0.695652174,0.744186047,0.626865672,0.719101124,0.677971711,0.6794871790000001,0.677713421
85,152,86,1,20,15,35,8,35,43,0.7142857140000001,0.571428571,0.7,0.813953488,0.634920635,0.752688172,0.706410256,0.705128205,0.699843764
86,152,87,1,25,10,32,11,35,43,0.694444444,0.7142857140000001,0.761904762,0.744186047,0.704225352,0.752941176,0.731634107,0.7307692309999999,0.731081512
87,152,88,1,21,14,34,9,35,43,0.7,0.6,0.708333333,0.790697674,0.646153846,0.747252747,0.704594017,0.705128205,0.7018878559999999
88,152,89,1,21,14,30,13,35,43,0.6176470589999999,0.6,0.681818182,0.697674419,0.608695652,0.689655172,0.653023447,0.653846154,0.6533271829999999
89,152,90,1,20,15,32,11,35,43,0.64516129,0.571428571,0.6808510640000001,0.744186047,0.606060606,0.7111111109999999,0.664836422,0.666666667,0.663973064
90,152,91,1,19,16,39,4,35,43,0.826086957,0.542857143,0.709090909,0.9069767440000001,0.655172414,0.7959183670000001,0.7615891359999999,0.7435897440000001,0.732763132
91,152,92,1,15,20,36,7,35,43,0.681818182,0.428571429,0.642857143,0.837209302,0.526315789,0.727272727,0.66033966,0.653846154,0.6370997420000001
92,152,93,1,18,17,32,11,35,43,0.620689655,0.514285714,0.653061224,0.744186047,0.5625,0.695652174,0.63853552,0.641025641,0.635904404
93,152,94,1,20,15,29,14,35,43,0.588235294,0.571428571,0.659090909,0.674418605,0.579710145,0.666666667,0.627296723,0.628205128,0.627647715
94,152,95,1,24,11,32,11,35,43,0.685714286,0.685714286,0.744186047,0.744186047,0.685714286,0.744186047,0.7179487179999999,0.7179487179999999,0.7179487179999999
95,152,96,0,17,18,37,6,35,43,0.739130435,0.485714286,0.672727273,0.860465116,0.5862068970000001,0.7551020409999999,0.702523563,0.692307692,0.679315758
96,152,97,1,23,12,28,15,35,43,0.605263158,0.6571428570000001,0.7,0.651162791,0.630136986,0.674698795,0.657489879,0.653846154,0.654703112
97,152,98,1,28,7,28,15,35,43,0.651162791,0.8,0.8,0.651162791,0.7179487179999999,0.7179487179999999,0.733214073,0.7179487179999999,0.7179487179999999
98,152,99,0,13,22,40,3,35,43,0.8125,0.37142857100000004,0.64516129,0.9302325579999999,0.509803922,0.761904762,0.720249173,0.6794871790000001,0.64878259
99,152,100,1,24,11,30,13,35,43,0.648648649,0.685714286,0.731707317,0.697674419,0.666666667,0.7142857140000001,0.694437402,0.692307692,0.692918193
100,152,101,1,21,14,32,11,35,43,0.65625,0.6,0.695652174,0.744186047,0.626865672,0.719101124,0.677971711,0.6794871790000001,0.677713421
101,152,102,1,25,10,29,14,35,43,0.641025641,0.7142857140000001,0.7435897440000001,0.674418605,0.6756756759999999,0.707317073,0.69756739,0.692307692,0.69311901
102,152,103,1,28,7,29,14,35,43,0.666666667,0.8,0.805555556,0.674418605,0.727272727,0.734177215,0.743233618,0.7307692309999999,0.731079048
103,152,104,0,16,19,37,6,35,43,0.727272727,0.457142857,0.660714286,0.860465116,0.561403509,0.747474747,0.6905802529999999,0.6794871790000001,0.6639812429999999
104,152,105,1,26,9,28,15,35,43,0.634146341,0.7428571429999999,0.756756757,0.651162791,0.684210526,0.7,0.701739263,0.692307692,0.69291498
105,152,106,1,25,10,27,16,35,43,0.609756098,0.7142857140000001,0.72972973,0.627906977,0.657894737,0.675,0.6758954079999999,0.666666667,0.667324561
106,152,107,1,24,11,28,15,35,43,0.615384615,0.685714286,0.7179487179999999,0.651162791,0.648648649,0.682926829,0.671926364,0.666666667,0.667545594
107,152,108,1,24,11,30,13,35,43,0.648648649,0.685714286,0.731707317,0.697674419,0.666666667,0.7142857140000001,0.694437402,0.692307692,0.692918193
108,152,109,1,21,14,34,9,35,43,0.7,0.6,0.708333333,0.790697674,0.646153846,0.747252747,0.704594017,0.705128205,0.7018878559999999
109,152,110,1,18,17,39,4,35,43,0.818181818,0.514285714,0.6964285709999999,0.9069767440000001,0.6315789470000001,0.787878788,0.7510614390000001,0.7307692309999999,0.717744244
110,152,111,0,22,13,31,12,35,43,0.647058824,0.628571429,0.704545455,0.7209302329999999,0.637681159,0.712643678,0.6787501709999999,0.6794871790000001,0.6790066509999999
111,152,112,1,25,10,24,19,35,43,0.568181818,0.7142857140000001,0.705882353,0.558139535,0.632911392,0.623376623,0.644093651,0.628205128,0.627655045
112,152,113,1,25,10,36,7,35,43,0.78125,0.7142857140000001,0.7826086959999999,0.837209302,0.746268657,0.8089887640000001,0.781999025,0.7820512820000001,0.7808451259999999
113,152,114,0,20,15,37,6,35,43,0.7692307690000001,0.571428571,0.711538462,0.860465116,0.655737705,0.778947368,0.7374260359999999,0.7307692309999999,0.723660981
114,152,115,1,18,17,23,20,35,43,0.473684211,0.514285714,0.575,0.534883721,0.493150685,0.5542168670000001,0.529537787,0.5256410260000001,0.526815375
115,152,116,1,16,19,28,15,35,43,0.516129032,0.457142857,0.595744681,0.651162791,0.484848485,0.622222222,0.56001971,0.564102564,0.560580161
116,152,117,1,21,14,26,17,35,43,0.552631579,0.6,0.65,0.604651163,0.575342466,0.626506024,0.606309042,0.602564103,0.603548017
117,152,118,1,10,25,40,3,35,43,0.7692307690000001,0.28571428600000004,0.615384615,0.9302325579999999,0.41666666700000005,0.740740741,0.684418146,0.641025641,0.595322887
118,152,119,1,24,11,19,24,35,43,0.5,0.685714286,0.6333333329999999,0.441860465,0.5783132529999999,0.520547945,0.573504274,0.551282051,0.546468276
119,152,120,1,19,16,25,18,35,43,0.513513514,0.542857143,0.609756098,0.581395349,0.5277777779999999,0.595238095,0.566570323,0.564102564,0.56496744
120,152,121,0,8,27,29,14,35,43,0.363636364,0.228571429,0.517857143,0.674418605,0.28070175399999997,0.5858585860000001,0.448655511,0.474358974,0.44892923799999995
