type0_f1,type0_precision,type0_recall,type0_support,type1_f1,type1_precision,type1_recall,type1_support,f1,landmark_index,type1_1,type1_0,precision,pred,recall,sample_index,type0_1,type0_0
0.804123711,0.709090909,0.928571429,42,0.666666667,0.863636364,0.542857143,35,0.741643236,89,19,16,0.779338843,0,0.753246753,113,3,39
0.735632184,0.711111111,0.761904762,42,0.656716418,0.6875,0.628571429,35,0.699761381,90,22,13,0.700378788,0,0.701298701,113,10,32
0.795454545,0.760869565,0.833333333,42,0.727272727,0.774193548,0.685714286,35,0.76446281,91,24,11,0.766925921,1,0.766233766,113,7,35
0.755555556,0.708333333,0.80952381,42,0.65625,0.724137931,0.6,35,0.710416667,92,21,14,0.715517241,0,0.714285714,113,8,34
0.769230769,0.714285714,0.833333333,42,0.666666667,0.75,0.6,35,0.722610723,93,21,14,0.730519481,0,0.727272727,113,7,35
0.838709677,0.764705882,0.928571429,42,0.754098361,0.884615385,0.657142857,35,0.800249988,94,23,12,0.819210202,0,0.805194805,113,3,39
0.847826087,0.78,0.928571429,42,0.774193548,0.888888889,0.685714286,35,0.814356751,95,24,11,0.829494949,0,0.818181818,113,3,39
0.795180723,0.804878049,0.785714286,42,0.76056338,0.75,0.771428571,35,0.779445567,96,27,8,0.779933481,0,0.779220779,113,9,33
0.821052632,0.735849057,0.928571429,42,0.711864407,0.875,0.6,35,0.77142162,97,21,14,0.799099485,0,0.779220779,113,3,39
0.775510204,0.678571429,0.904761905,42,0.607142857,0.80952381,0.485714286,35,0.698979592,98,17,18,0.738095238,1,0.714285714,113,4,38
0.808988764,0.765957447,0.857142857,42,0.738461538,0.8,0.685714286,35,0.776930934,99,24,11,0.781431335,1,0.779220779,113,6,36
0.838709677,0.764705882,0.928571429,42,0.754098361,0.884615385,0.657142857,35,0.800249988,100,23,12,0.819210202,0,0.805194805,113,3,39
0.804347826,0.74,0.880952381,42,0.709677419,0.814814815,0.628571429,35,0.761315823,101,22,13,0.774006734,0,0.766233766,113,5,37
0.80952381,0.80952381,0.80952381,42,0.771428571,0.771428571,0.771428571,35,0.792207792,102,27,8,0.792207792,0,0.792207792,113,8,34
0.821052632,0.735849057,0.928571429,42,0.711864407,0.875,0.6,35,0.77142162,103,21,14,0.799099485,0,0.779220779,113,3,39
0.835443038,0.891891892,0.785714286,42,0.826666667,0.775,0.885714286,35,0.831453778,104,31,4,0.838759214,0,0.831168831,113,9,33
0.909090909,0.869565217,0.952380952,42,0.878787879,0.935483871,0.828571429,35,0.895316804,105,29,6,0.899528242,0,0.896103896,113,2,40
0.819277108,0.829268293,0.80952381,42,0.788732394,0.777777778,0.8,35,0.805393147,106,28,7,0.805863513,0,0.805194805,113,8,34
0.734177215,0.783783784,0.69047619,42,0.72,0.675,0.771428571,35,0.727733026,107,27,8,0.734336609,1,0.727272727,113,13,29
0.792079208,0.677966102,0.952380952,42,0.603773585,0.888888889,0.457142857,35,0.706485743,108,16,19,0.773840096,0,0.727272727,113,2,40
0.833333333,0.833333333,0.833333333,42,0.8,0.8,0.8,35,0.818181818,109,28,7,0.818181818,0,0.818181818,113,7,35
0.804347826,0.74,0.880952381,42,0.709677419,0.814814815,0.628571429,35,0.761315823,110,22,13,0.774006734,0,0.766233766,113,5,37
0.818181818,0.782608696,0.857142857,42,0.757575758,0.806451613,0.714285714,35,0.790633609,111,25,10,0.793446385,0,0.792207792,113,6,36
0.870588235,0.860465116,0.880952381,42,0.84057971,0.852941176,0.828571429,35,0.856947997,112,29,6,0.857045144,0,0.857142857,113,5,37
0.87804878,0.9,0.857142857,42,0.861111111,0.837837838,0.885714286,35,0.87034984,113,31,4,0.871744472,0,0.87012987,113,6,36
0.857142857,0.942857143,0.785714286,42,0.857142857,0.785714286,0.942857143,35,0.857142857,114,33,2,0.871428571,0,0.857142857,113,9,33
0.901098901,0.836734694,0.976190476,42,0.857142857,0.964285714,0.771428571,35,0.881118881,115,27,8,0.89471243,0,0.883116883,113,1,41
0.876404494,0.829787234,0.928571429,42,0.830769231,0.9,0.771428571,35,0.855661193,116,27,8,0.861702128,0,0.857142857,113,3,39
0.847826087,0.78,0.928571429,42,0.774193548,0.888888889,0.685714286,35,0.814356751,117,24,11,0.829494949,0,0.818181818,113,3,39
0.791208791,0.734693878,0.857142857,42,0.698412698,0.785714286,0.628571429,35,0.749028749,118,22,13,0.757884972,0,0.753246753,113,6,36
0.770833333,0.685185185,0.880952381,42,0.620689655,0.782608696,0.514285714,35,0.702586207,119,18,17,0.729468599,0,0.714285714,113,5,37
0.804878049,0.825,0.785714286,42,0.777777778,0.756756757,0.8,35,0.792559744,120,28,7,0.793980344,0,0.792207792,113,9,33
0.888888889,0.923076923,0.857142857,42,0.876712329,0.842105263,0.914285714,35,0.883354089,121,32,3,0.886271623,0,0.883116883,113,6,36
0.842105263,0.941176471,0.761904762,42,0.846153846,0.76744186,0.942857143,35,0.843945528,122,33,2,0.862206193,0,0.844155844,113,10,32
0.853658537,0.875,0.833333333,42,0.833333333,0.810810811,0.857142857,35,0.844419808,123,30,5,0.845823096,0,0.844155844,113,7,35
0.894117647,0.88372093,0.904761905,42,0.869565217,0.882352941,0.857142857,35,0.882957452,124,30,5,0.883099117,0,0.883116883,113,4,38
0.819277108,0.829268293,0.80952381,42,0.788732394,0.777777778,0.8,35,0.805393147,125,28,7,0.805863513,0,0.805194805,113,8,34
0.8,0.790697674,0.80952381,42,0.753623188,0.764705882,0.742857143,35,0.778919631,126,26,9,0.778883223,0,0.779220779,113,8,34
0.866666667,0.8125,0.928571429,42,0.8125,0.896551724,0.742857143,35,0.842045455,127,26,9,0.850705329,0,0.844155844,113,3,39
0.676923077,0.956521739,0.523809524,42,0.764044944,0.62962963,0.971428571,35,0.716523926,128,34,1,0.807934417,0,0.727272727,113,20,22
0.988235294,0.976744186,1,42,0.985507246,1,0.971428571,35,0.986995272,129,34,1,0.987315011,0,0.987012987,113,0,42
0.951219512,0.975,0.928571429,42,0.944444444,0.918918919,0.971428571,35,0.948139936,130,34,1,0.9495086,0,0.948051948,113,3,39
0.742857143,0.928571429,0.619047619,42,0.785714286,0.673469388,0.942857143,35,0.762337662,131,33,2,0.812615955,0,0.766233766,113,16,26
0.842105263,0.941176471,0.761904762,42,0.846153846,0.76744186,0.942857143,35,0.843945528,132,33,2,0.862206193,0,0.844155844,113,10,32
0.941176471,0.930232558,0.952380952,42,0.927536232,0.941176471,0.914285714,35,0.934976362,133,32,3,0.935207064,0,0.935064935,113,2,40
0.646153846,0.913043478,0.5,42,0.741573034,0.611111111,0.942857143,35,0.689526204,134,33,2,0.775801493,0,0.701298701,113,21,21
0.925,0.973684211,0.880952381,42,0.918918919,0.871794872,0.971428571,35,0.922235872,135,34,1,0.927370875,1,0.922077922,113,5,37
