,landmark_index,pred,ww,wm,mm,mw,w_support,m_support,w_precision,w_recall,m_precision,m_recall,w_f1,m_f1,precision,recall,f1
50,51,1,34,8,26,9,42,35,0.7906976744186046,0.8095238095238095,0.7647058823529411,0.7428571428571429,0.8,0.7536231884057971,0.7788832234796667,0.7792207792207793,0.7789196310935441
51,52,1,35,7,25,10,42,35,0.7777777777777778,0.8333333333333334,0.78125,0.7142857142857143,0.8045977011494253,0.7462686567164178,0.7793560606060606,0.7792207792207793,0.7780844991344219
52,53,1,38,4,26,9,42,35,0.8085106382978723,0.9047619047619048,0.8666666666666667,0.7428571428571429,0.853932584269663,0.8,0.8349451966473245,0.8311688311688312,0.8294177732379979
53,54,1,33,9,18,17,42,35,0.66,0.7857142857142857,0.6666666666666666,0.5142857142857142,0.717391304347826,0.5806451612903226,0.6630303030303031,0.6623376623376623,0.6552339665944154
54,55,1,39,3,17,18,42,35,0.6842105263157895,0.9285714285714286,0.85,0.4857142857142857,0.7878787878787878,0.6181818181818183,0.7595693779904307,0.7272727272727273,0.7107438016528925
55,56,0,35,7,29,6,42,35,0.8536585365853658,0.8333333333333334,0.8055555555555556,0.8285714285714286,0.8433734939759037,0.8169014084507044,0.8317935452081794,0.8311688311688312,0.8313407278280857
56,57,0,38,4,21,14,42,35,0.7307692307692307,0.9047619047619048,0.84,0.6,0.8085106382978723,0.7000000000000001,0.7804195804195804,0.7662337662337663,0.7591876208897486
57,58,1,36,6,26,9,42,35,0.8,0.8571428571428571,0.8125,0.7428571428571429,0.8275862068965518,0.7761194029850748,0.8056818181818182,0.8051948051948052,0.8041922051186076
58,59,1,38,4,20,15,42,35,0.7169811320754716,0.9047619047619048,0.8333333333333334,0.5714285714285714,0.8,0.6779661016949152,0.7698684962835907,0.7532467532467533,0.7445300462249616
59,60,1,39,3,21,14,42,35,0.7358490566037735,0.9285714285714286,0.875,0.6,0.8210526315789474,0.711864406779661,0.7990994854202401,0.7792207792207793,0.7714216203065446
60,61,1,35,7,27,8,42,35,0.813953488372093,0.8333333333333334,0.7941176470588235,0.7714285714285715,0.8235294117647058,0.782608695652174,0.8049371968660615,0.8051948051948052,0.8049290862590095
61,62,1,35,7,26,9,42,35,0.7954545454545454,0.8333333333333334,0.7878787878787878,0.7428571428571429,0.8139534883720929,0.7647058823529412,0.7920110192837465,0.7922077922077922,0.7915682129088422
62,63,1,29,13,27,8,42,35,0.7837837837837838,0.6904761904761905,0.675,0.7714285714285715,0.7341772151898734,0.72,0.7343366093366094,0.7272727272727273,0.7277330264672037
63,64,0,35,7,25,10,42,35,0.7777777777777778,0.8333333333333334,0.78125,0.7142857142857143,0.8045977011494253,0.7462686567164178,0.7793560606060606,0.7792207792207793,0.7780844991344219
