sample_index,pts,r,stype,landmark_index
106,0,0,wt-at,7
107,0,0,wt-at,7
108,0,0,wt-at,7
109,0,0,wt-at,7
110,0,0,wt-at,7
111,0,0,wt-at,7
112_1,0,0,wt-at,7
112_2,0,0,mt-at,7
113,0,0,wt-at,7
114,0,0,wt-at,7
115,0,0,wt-at,7
116,0,0,wt-at,7
117,0,0,wt-at,7
118,0,0,wt-at,7
119,0,0,wt-at,7
120,0,0,wt-at,7
121,0,0,wt-at,7
122,0,0,wt-at,7
123,0,0,wt-at,7
124,0,0,wt-at,7
125,0,0,wt-at,7
126,0,0,wt-at,7
127,0,0,wt-at,7
128,0,0,wt-at,7
129,0,0,wt-at,7
130,0,0,wt-at,7
131,0,0,wt-at,7
132,0,0,wt-at,7
133,0,0,wt-at,7
134,0,0,wt-at,7
135,0,0,wt-at,7
136,0,0,wt-at,7
137,0,0,wt-at,7
138,0,0,wt-at,7
139,0,0,wt-at,7
140,0,0,wt-at,7
141,0,0,wt-at,7
142,0,0,wt-at,7
143,0,0,wt-at,7
152,0,0,mt-at,7
172,0,0,mt-at,7
19,0,0,mt-at,7
2,0,0,mt-at,7
21,0,0,mt-at,7
24,0,0,mt-at,7
3,0,0,mt-at,7
317,0,0,mt-at,7
318,0,0,mt-at,7
319,0,0,mt-at,7
320,0,0,mt-at,7
321,0,0,mt-at,7
323,0,0,mt-at,7
324,0,0,mt-at,7
325,0,0,mt-at,7
326,0,0,mt-at,7
327,0,0,mt-at,7
328,0,0,mt-at,7
329,0,0,mt-at,7
330,0,0,mt-at,7
331,0,0,mt-at,7
332,0,0,mt-at,7
333,0,0,mt-at,7
334,0,0,mt-at,7
335,0,0,mt-at,7
336,0,0,mt-at,7
337,0,0,mt-at,7
338,0,0,mt-at,7
339,0,0,mt-at,7
340,0,0,mt-at,7
4,0,0,mt-at,7
5,0,0,mt-at,7
6,0,0,mt-at,7
1,0,0,mt-at,8
101,0,0,wt-at,8
102,0,0,wt-at,8
103,0,0,wt-at,8
104,0,0,wt-at,8
105,0,0,wt-at,8
106,0,0,wt-at,8
107,0,0,wt-at,8
108,0,0,wt-at,8
109,0,0,wt-at,8
110,0,0,wt-at,8
111,0,0,wt-at,8
112_1,0,0,wt-at,8
112_2,0,0,mt-at,8
113,0,0,wt-at,8
114,0,0,wt-at,8
115,0,0,wt-at,8
116,0,0,wt-at,8
117,0,0,wt-at,8
118,0,0,wt-at,8
119,0,0,wt-at,8
120,0,0,wt-at,8
121,0,0,wt-at,8
122,0,0,wt-at,8
123,0,0,wt-at,8
124,0,0,wt-at,8
125,0,0,wt-at,8
126,0,0,wt-at,8
127,0,0,wt-at,8
128,0,0,wt-at,8
129,0,0,wt-at,8
130,0,0,wt-at,8
131,0,0,wt-at,8
132,0,0,wt-at,8
133,0,0,wt-at,8
134,0,0,wt-at,8
135,0,0,wt-at,8
136,0,0,wt-at,8
137,0,0,wt-at,8
138,0,0,wt-at,8
139,0,0,wt-at,8
140,0,0,wt-at,8
141,0,0,wt-at,8
142,0,0,wt-at,8
143,0,0,wt-at,8
152,0,0,mt-at,8
172,0,0,mt-at,8
19,0,0,mt-at,8
2,0,0,mt-at,8
21,0,0,mt-at,8
24,0,0,mt-at,8
3,0,0,mt-at,8
317,0,0,mt-at,8
318,0,0,mt-at,8
319,0,0,mt-at,8
320,0,0,mt-at,8
321,0,0,mt-at,8
323,0,0,mt-at,8
324,0,0,mt-at,8
325,0,0,mt-at,8
326,0,0,mt-at,8
327,0,0,mt-at,8
328,0,0,mt-at,8
329,0,0,mt-at,8
330,0,0,mt-at,8
331,0,0,mt-at,8
332,0,0,mt-at,8
333,0,0,mt-at,8
334,0,0,mt-at,8
335,0,0,mt-at,8
336,0,0,mt-at,8
337,0,0,mt-at,8
338,0,0,mt-at,8
339,0,0,mt-at,8
340,0,0,mt-at,8
4,0,0,mt-at,8
5,0,0,mt-at,8
6,0,0,mt-at,8
1,0,0,mt-at,9
101,0,1.804991465,wt-at,9
102,0,1.804991465,wt-at,9
103,1,2.088584342,wt-at,9
104,0,1.804991465,wt-at,9
105,0,1.804991465,wt-at,9
106,0,1.804991465,wt-at,9
107,0,1.804991465,wt-at,9
108,0,1.804991465,wt-at,9
109,0,1.804991465,wt-at,9
110,0,1.804991465,wt-at,9
111,0,1.804991465,wt-at,9
112_1,0,1.804991465,wt-at,9
112_2,0,0,mt-at,9
113,0,1.804991465,wt-at,9
114,0,1.804991465,wt-at,9
115,0,1.804991465,wt-at,9
116,64,2.368080216,wt-at,9
117,0,1.804991465,wt-at,9
118,0,1.804991465,wt-at,9
119,0,1.804991465,wt-at,9
120,0,1.804991465,wt-at,9
121,0,1.804991465,wt-at,9
122,0,1.804991465,wt-at,9
123,0,1.804991465,wt-at,9
124,0,1.804991465,wt-at,9
125,0,1.804991465,wt-at,9
126,0,1.804991465,wt-at,9
127,0,1.804991465,wt-at,9
128,0,1.804991465,wt-at,9
129,0,1.804991465,wt-at,9
130,0,1.804991465,wt-at,9
131,0,1.804991465,wt-at,9
132,48,1.246792912,wt-at,9
133,0,1.804991465,wt-at,9
134,0,1.804991465,wt-at,9
135,0,1.804991465,wt-at,9
136,0,1.804991465,wt-at,9
137,0,1.804991465,wt-at,9
138,0,1.804991465,wt-at,9
139,0,1.804991465,wt-at,9
