sample_index,pts,r,stype,landmark_index
142,0,0,wt-zrf,10
143,0,0,wt-zrf,10
152,0,0,mt-zrf,10
172,0,0,mt-zrf,10
19,0,0,mt-zrf,10
2,0,0,mt-zrf,10
21,0,0,mt-zrf,10
24,0,0,mt-zrf,10
3,0,0,mt-zrf,10
317,0,0,mt-zrf,10
318,0,0,mt-zrf,10
319,0,0,mt-zrf,10
320,0,0,mt-zrf,10
321,0,0,mt-zrf,10
323,0,0,mt-zrf,10
324,0,0,mt-zrf,10
325,0,0,mt-zrf,10
326,0,0,mt-zrf,10
327,0,0,mt-zrf,10
328,0,0,mt-zrf,10
329,0,0,mt-zrf,10
330,0,0,mt-zrf,10
331,0,0,mt-zrf,10
332,0,0,mt-zrf,10
333,0,0,mt-zrf,10
334,0,0,mt-zrf,10
335,0,0,mt-zrf,10
336,0,0,mt-zrf,10
337,0,0,mt-zrf,10
338,0,0,mt-zrf,10
339,0,0,mt-zrf,10
340,0,0,mt-zrf,10
4,0,0,mt-zrf,10
5,0,0,mt-zrf,10
6,0,0,mt-zrf,10
1,0,0,mt-zrf,11
101,3,8.309288783,wt-zrf,11
102,0,22.81973972,wt-zrf,11
103,0,22.81973972,wt-zrf,11
104,0,22.81973972,wt-zrf,11
105,0,22.81973972,wt-zrf,11
106,0,22.81973972,wt-zrf,11
107,0,22.81973972,wt-zrf,11
108,0,22.81973972,wt-zrf,11
109,0,22.81973972,wt-zrf,11
110,0,22.81973972,wt-zrf,11
111,0,22.81973972,wt-zrf,11
112_1,0,22.81973972,wt-zrf,11
112_2,0,0,mt-zrf,11
113,0,22.81973972,wt-zrf,11
114,0,22.81973972,wt-zrf,11
115,0,22.81973972,wt-zrf,11
116,0,22.81973972,wt-zrf,11
117,0,22.81973972,wt-zrf,11
118,0,22.81973972,wt-zrf,11
119,0,22.81973972,wt-zrf,11
120,0,22.81973972,wt-zrf,11
121,0,22.81973972,wt-zrf,11
122,0,22.81973972,wt-zrf,11
123,0,22.81973972,wt-zrf,11
124,0,22.81973972,wt-zrf,11
125,0,22.81973972,wt-zrf,11
126,0,22.81973972,wt-zrf,11
127,0,22.81973972,wt-zrf,11
128,0,22.81973972,wt-zrf,11
129,0,22.81973972,wt-zrf,11
130,0,22.81973972,wt-zrf,11
131,0,22.81973972,wt-zrf,11
132,96,16.78482272,wt-zrf,11
133,0,22.81973972,wt-zrf,11
134,0,22.81973972,wt-zrf,11
135,0,22.81973972,wt-zrf,11
136,0,22.81973972,wt-zrf,11
137,0,22.81973972,wt-zrf,11
138,0,22.81973972,wt-zrf,11
139,0,22.81973972,wt-zrf,11
140,0,22.81973972,wt-zrf,11
141,6,11.40986986,wt-zrf,11
142,0,22.81973972,wt-zrf,11
143,0,22.81973972,wt-zrf,11
152,0,0,mt-zrf,11
172,0,0,mt-zrf,11
19,0,0,mt-zrf,11
2,0,0,mt-zrf,11
21,0,0,mt-zrf,11
24,0,0,mt-zrf,11
3,0,0,mt-zrf,11
317,0,0,mt-zrf,11
318,0,0,mt-zrf,11
319,0,0,mt-zrf,11
320,0,0,mt-zrf,11
321,0,0,mt-zrf,11
323,0,0,mt-zrf,11
324,0,0,mt-zrf,11
325,0,0,mt-zrf,11
326,0,0,mt-zrf,11
327,0,0,mt-zrf,11
328,0,0,mt-zrf,11
329,0,0,mt-zrf,11
330,0,0,mt-zrf,11
331,0,0,mt-zrf,11
332,0,0,mt-zrf,11
333,0,0,mt-zrf,11
334,0,0,mt-zrf,11
335,0,0,mt-zrf,11
336,0,0,mt-zrf,11
337,0,0,mt-zrf,11
338,0,0,mt-zrf,11
339,0,0,mt-zrf,11
340,0,0,mt-zrf,11
4,0,0,mt-zrf,11
5,0,0,mt-zrf,11
6,0,0,mt-zrf,11
1,0,0,mt-zrf,12
101,0,21.79986948,wt-zrf,12
102,0,21.79986948,wt-zrf,12
103,70,13.2749366,wt-zrf,12
104,0,21.79986948,wt-zrf,12
105,0,21.79986948,wt-zrf,12
106,0,21.79986948,wt-zrf,12
107,0,21.79986948,wt-zrf,12
108,0,21.79986948,wt-zrf,12
109,0,21.79986948,wt-zrf,12
110,0,21.79986948,wt-zrf,12
111,0,21.79986948,wt-zrf,12
112_1,0,21.79986948,wt-zrf,12
112_2,0,0,mt-zrf,12
113,0,21.79986948,wt-zrf,12
114,0,21.79986948,wt-zrf,12
115,0,21.79986948,wt-zrf,12
116,0,21.79986948,wt-zrf,12
117,0,21.79986948,wt-zrf,12
118,0,21.79986948,wt-zrf,12
119,0,21.79986948,wt-zrf,12
120,0,21.79986948,wt-zrf,12
121,0,21.79986948,wt-zrf,12
122,0,21.79986948,wt-zrf,12
123,0,21.79986948,wt-zrf,12
124,0,21.79986948,wt-zrf,12
125,0,21.79986948,wt-zrf,12
126,0,21.79986948,wt-zrf,12
127,0,21.79986948,wt-zrf,12
128,0,21.79986948,wt-zrf,12
129,0,21.79986948,wt-zrf,12
130,0,21.79986948,wt-zrf,12
131,0,21.79986948,wt-zrf,12
132,19,10.89993474,wt-zrf,12
133,0,21.79986948,wt-zrf,12
134,0,21.79986948,wt-zrf,12
135,0,21.79986948,wt-zrf,12
136,0,21.79986948,wt-zrf,12
137,0,21.79986948,wt-zrf,12
138,0,21.79986948,wt-zrf,12
139,0,21.79986948,wt-zrf,12
140,0,21.79986948,wt-zrf,12
141,9,7.30231324,wt-zrf,12
142,0,21.79986948,wt-zrf,12
