,landmark_index,sample_index,min_alpha,max_alpha,min_theta,max_theta,num,pts,r,stype
180,29,2,-4.76,4.76,0.0,0.79,50,0,9.01582997,mt-at
181,30,2,-4.76,4.76,0.79,1.57,50,0,8.233002365,mt-at
182,31,2,-4.76,4.76,1.57,2.36,50,0,6.496393749,mt-at
183,32,2,-4.76,4.76,2.36,3.14,50,0,4.887929261,mt-at
184,33,2,-42.88,-33.35,-0.79,0.0,50,694,6.093145171000001,mt-at
185,34,2,-42.88,-33.35,-1.57,-0.79,50,928,4.085075654,mt-at
186,35,2,-42.88,-33.35,-2.36,-1.57,50,2,4.470822943,mt-at
187,36,2,-42.88,-33.35,-3.14,-2.36,50,401,4.636958172,mt-at
188,37,2,-42.88,-33.35,0.0,0.79,50,328,4.433220339,mt-at
189,38,2,-42.88,-33.35,0.79,1.57,50,5,2.9953142930000003,mt-at
190,39,2,-42.88,-33.35,1.57,2.36,50,335,3.871614292,mt-at
191,40,2,-42.88,-33.35,2.36,3.14,50,870,3.777851679,mt-at
192,41,2,-52.4,-42.88,-0.79,0.0,50,1415,2.900341725,mt-at
193,42,2,-52.4,-42.88,-1.57,-0.79,50,1104,3.367731713,mt-at
194,43,2,-52.4,-42.88,-2.36,-1.57,50,186,1.84103739,mt-at
195,44,2,-52.4,-42.88,-3.14,-2.36,50,318,2.258916314,mt-at
196,45,2,-52.4,-42.88,0.0,0.79,50,402,1.943805112,mt-at
197,46,2,-52.4,-42.88,0.79,1.57,50,431,2.955036751,mt-at
198,47,2,-52.4,-42.88,1.57,2.36,50,1103,2.288736605,mt-at
199,48,2,-52.4,-42.88,2.36,3.14,50,989,2.034545627,mt-at
200,49,2,-61.93,-52.4,-0.79,0.0,50,24,1.330000437,mt-at
201,50,2,-61.93,-52.4,-1.57,-0.79,50,0,4.829360263,mt-at
202,51,2,-61.93,-52.4,-2.36,-1.57,50,0,3.762108978,mt-at
203,52,2,-61.93,-52.4,-3.14,-2.36,50,32,1.61343386,mt-at
204,53,2,-61.93,-52.4,0.0,0.79,50,93,1.398566451,mt-at
205,54,2,-61.93,-52.4,0.79,1.57,50,86,2.227113492,mt-at
206,55,2,-61.93,-52.4,1.57,2.36,50,789,2.6510954890000002,mt-at
207,56,2,-61.93,-52.4,2.36,3.14,50,359,2.219377835,mt-at
208,57,2,-71.46,-61.93,-0.79,0.0,50,0,3.2712792939999997,mt-at
209,58,2,-71.46,-61.93,-1.57,-0.79,50,0,4.501245257,mt-at
210,59,2,-71.46,-61.93,-2.36,-1.57,50,0,3.610474675,mt-at
211,60,2,-71.46,-61.93,-3.14,-2.36,50,0,2.43702744,mt-at
212,61,2,-71.46,-61.93,0.0,0.79,50,0,3.765223199,mt-at
213,62,2,-71.46,-61.93,0.79,1.57,50,0,5.354333925,mt-at
214,63,2,-71.46,-61.93,1.57,2.36,50,0,4.073767366,mt-at
215,64,2,-71.46,-61.93,2.36,3.14,50,0,2.661014645,mt-at
216,65,2,-80.99,-71.46,-0.79,0.0,50,0,4.064110519,mt-at
217,66,2,-80.99,-71.46,-1.57,-0.79,50,0,4.667406112,mt-at
218,67,2,-80.99,-71.46,-2.36,-1.57,50,0,2.669120095,mt-at
219,68,2,-80.99,-71.46,-3.14,-2.36,50,0,1.527132065,mt-at
220,69,2,-80.99,-71.46,0.0,0.79,50,0,3.861445527,mt-at
221,70,2,-80.99,-71.46,0.79,1.57,50,0,6.704600514,mt-at
222,71,2,-80.99,-71.46,1.57,2.36,50,0,3.278631636,mt-at
223,72,2,-80.99,-71.46,2.36,3.14,50,0,2.035549734,mt-at
224,73,2,-90.51,-80.99,-0.79,0.0,50,0,4.44787695,mt-at
225,74,2,-90.51,-80.99,-1.57,-0.79,50,0,3.7938538389999996,mt-at
226,75,2,-90.51,-80.99,-2.36,-1.57,50,0,3.0582323060000003,mt-at
227,76,2,-90.51,-80.99,-3.14,-2.36,50,0,3.0582323060000003,mt-at
228,77,2,-90.51,-80.99,0.0,0.79,50,0,5.4847144310000004,mt-at
229,78,2,-90.51,-80.99,0.79,1.57,50,0,5.353957882,mt-at
230,79,2,-90.51,-80.99,1.57,2.36,50,0,1.67586599,mt-at
231,80,2,-90.51,-80.99,2.36,3.14,50,0,1.67586599,mt-at
232,81,2,14.29,23.82,-0.79,0.0,50,15,15.89949711,mt-at
233,82,2,14.29,23.82,-1.57,-0.79,50,0,6.457617531,mt-at
234,83,2,14.29,23.82,-2.36,-1.57,50,3,6.905150921000001,mt-at
235,84,2,14.29,23.82,-3.14,-2.36,50,205,6.760464025,mt-at
236,85,2,14.29,23.82,0.0,0.79,50,0,8.125704819,mt-at
237,86,2,14.29,23.82,0.79,1.57,50,0,6.196928975,mt-at
238,87,2,14.29,23.82,1.57,2.36,50,481,8.973791355,mt-at
239,88,2,14.29,23.82,2.36,3.14,50,112,7.7372149089999995,mt-at
240,89,2,23.82,33.35,-0.79,0.0,50,0,5.372844226000001,mt-at
241,90,2,23.82,33.35,-1.57,-0.79,50,0,5.630288041,mt-at
242,91,2,23.82,33.35,-2.36,-1.57,50,20,2.612510177,mt-at
243,92,2,23.82,33.35,-3.14,-2.36,50,8,0.9652119779999999,mt-at
244,93,2,23.82,33.35,0.0,0.79,50,0,4.936515829,mt-at
245,94,2,23.82,33.35,0.79,1.57,50,0,6.450218662,mt-at
246,95,2,23.82,33.35,1.57,2.36,50,6,1.607801745,mt-at
247,96,2,23.82,33.35,2.36,3.14,50,5,1.720948505,mt-at
248,97,2,33.35,42.88,-0.79,0.0,50,440,2.719987614,mt-at
249,98,2,33.35,42.88,-1.57,-0.79,50,247,2.96750151,mt-at
250,99,2,33.35,42.88,-2.36,-1.57,50,30,3.117967339,mt-at
251,100,2,33.35,42.88,-3.14,-2.36,50,17,2.509316143,mt-at
252,101,2,33.35,42.88,0.0,0.79,50,393,2.9993191360000004,mt-at
253,102,2,33.35,42.88,0.79,1.57,50,1,3.418621266,mt-at
254,103,2,33.35,42.88,1.57,2.36,50,1,1.695862688,mt-at
255,104,2,33.35,42.88,2.36,3.14,50,14,1.853694384,mt-at
256,105,2,4.76,14.29,-0.79,0.0,50,5,16.04431918,mt-at
257,106,2,4.76,14.29,-1.57,-0.79,50,0,5.972523421,mt-at
258,107,2,4.76,14.29,-2.36,-1.57,50,0,5.577292462999999,mt-at
259,108,2,4.76,14.29,-3.14,-2.36,50,280,7.766620433,mt-at
260,109,2,4.76,14.29,0.0,0.79,50,0,10.55365441,mt-at
261,110,2,4.76,14.29,0.79,1.57,50,0,7.028159639,mt-at
262,111,2,4.76,14.29,1.57,2.36,50,1,7.196143012,mt-at
263,112,2,4.76,14.29,2.36,3.14,50,7,9.436497157,mt-at
264,113,2,42.88,52.4,-0.79,0.0,50,6,3.3360568919999998,mt-at
265,114,2,42.88,52.4,-1.57,-0.79,50,0,4.773945701000001,mt-at
