,landmark_index,sample_index,min_alpha,max_alpha,min_theta,max_theta,num,pts,r,stype
87,88,1,14.29,23.82,2.36,3.14,50,833,5.332156309,mt-zrf
88,89,1,23.82,33.35,-0.79,0.0,50,539,1.503256961,mt-zrf
89,90,1,23.82,33.35,-1.57,-0.79,50,840,1.881668603,mt-zrf
90,91,1,23.82,33.35,-2.36,-1.57,50,691,2.557960091,mt-zrf
91,92,1,23.82,33.35,-3.14,-2.36,50,1320,2.22895653,mt-zrf
92,93,1,23.82,33.35,0.0,0.79,50,772,1.868448895,mt-zrf
93,94,1,23.82,33.35,0.79,1.57,50,1263,6.031511235,mt-zrf
94,95,1,23.82,33.35,1.57,2.36,50,6630,5.311721002,mt-zrf
95,96,1,23.82,33.35,2.36,3.14,50,4127,4.426998114,mt-zrf
96,97,1,33.35,42.88,-0.79,0.0,50,1554,2.45231357,mt-zrf
97,98,1,33.35,42.88,-1.57,-0.79,50,3918,3.856039405,mt-zrf
98,99,1,33.35,42.88,-2.36,-1.57,50,1858,2.3429075619999997,mt-zrf
99,100,1,33.35,42.88,-3.14,-2.36,50,796,1.9046158659999999,mt-zrf
100,101,1,33.35,42.88,0.0,0.79,50,2167,3.5076226839999998,mt-zrf
101,102,1,33.35,42.88,0.79,1.57,50,1744,3.012743098,mt-zrf
102,103,1,33.35,42.88,1.57,2.36,50,5149,3.945833632,mt-zrf
103,104,1,33.35,42.88,2.36,3.14,50,2891,3.3714068389999996,mt-zrf
104,105,1,4.76,14.29,-0.79,0.0,50,1227,2.802503638,mt-zrf
105,106,1,4.76,14.29,-1.57,-0.79,50,359,1.7681103759999999,mt-zrf
106,107,1,4.76,14.29,-2.36,-1.57,50,82,1.366763219,mt-zrf
107,108,1,4.76,14.29,-3.14,-2.36,50,26,0.829201202,mt-zrf
108,109,1,4.76,14.29,0.0,0.79,50,2185,3.6576418619999997,mt-zrf
109,110,1,4.76,14.29,0.79,1.57,50,1044,3.2183111189999996,mt-zrf
110,111,1,4.76,14.29,1.57,2.36,50,1499,15.16381662,mt-zrf
111,112,1,4.76,14.29,2.36,3.14,50,326,12.43284388,mt-zrf
112,113,1,42.88,52.4,-0.79,0.0,50,3037,3.7961665780000002,mt-zrf
113,114,1,42.88,52.4,-1.57,-0.79,50,6977,5.155311933,mt-zrf
114,115,1,42.88,52.4,-2.36,-1.57,50,670,1.737378742,mt-zrf
115,116,1,42.88,52.4,-3.14,-2.36,50,275,1.7841806340000002,mt-zrf
116,117,1,42.88,52.4,0.0,0.79,50,821,1.897458696,mt-zrf
117,118,1,42.88,52.4,0.79,1.57,50,873,1.466199297,mt-zrf
118,119,1,42.88,52.4,1.57,2.36,50,2022,3.5620789139999998,mt-zrf
119,120,1,42.88,52.4,2.36,3.14,50,2335,3.408491615,mt-zrf
120,121,1,52.4,61.93,-0.79,0.0,50,13,9.639897448,mt-zrf
121,122,1,52.4,61.93,-1.57,-0.79,50,1569,8.727087542000001,mt-zrf
122,123,1,52.4,61.93,-2.36,-1.57,50,1,17.2017788,mt-zrf
123,124,1,52.4,61.93,-3.14,-2.36,50,0,5.1814678814374995,mt-zrf
124,125,1,52.4,61.93,0.0,0.79,50,0,6.688967162820512,mt-zrf
125,126,1,52.4,61.93,0.79,1.57,50,0,8.702008207210525,mt-zrf
126,127,1,52.4,61.93,1.57,2.36,50,0,8.648175480764703,mt-zrf
127,128,1,52.4,61.93,2.36,3.14,50,0,6.969733379593749,mt-zrf
128,129,1,61.93,71.46,-0.79,0.0,50,0,7.600197435739131,mt-zrf
129,130,1,61.93,71.46,-1.57,-0.79,50,0,7.827794362454545,mt-zrf
130,131,1,61.93,71.46,-2.36,-1.57,50,0,5.940535763647058,mt-zrf
131,132,1,61.93,71.46,-3.14,-2.36,50,0,5.973802553133334,mt-zrf
132,133,1,61.93,71.46,0.0,0.79,50,0,7.1845207087727285,mt-zrf
133,134,1,61.93,71.46,0.79,1.57,50,0,8.661729118458334,mt-zrf
134,135,1,61.93,71.46,1.57,2.36,50,0,8.143087029631578,mt-zrf
135,136,1,61.93,71.46,2.36,3.14,50,0,5.907005426312501,mt-zrf
136,137,1,71.46,80.99,-0.79,0.0,50,0,9.940457303272726,mt-zrf
137,138,1,71.46,80.99,-1.57,-0.79,50,0,9.3633622756,mt-zrf
138,139,1,71.46,80.99,-2.36,-1.57,50,0,5.3614083615000006,mt-zrf
139,140,1,71.46,80.99,-3.14,-2.36,50,0,7.00319746275,mt-zrf
140,141,1,71.46,80.99,0.0,0.79,50,0,9.0752873962,mt-zrf
141,142,1,71.46,80.99,0.79,1.57,50,0,14.529684476571429,mt-zrf
142,143,1,71.46,80.99,1.57,2.36,50,0,11.4490653566,mt-zrf
143,144,1,71.46,80.99,2.36,3.14,50,0,3.6453054280000003,mt-zrf
144,145,1,80.99,90.51,-0.79,0.0,50,0,4.884112899000001,mt-zrf
145,146,1,80.99,90.51,-1.57,-0.79,50,0,4.470987876000001,mt-zrf
146,147,1,80.99,90.51,-2.36,-1.57,50,0,3.7555405865000004,mt-zrf
147,148,1,80.99,90.51,-3.14,-2.36,50,0,3.7555405865000004,mt-zrf
148,149,1,80.99,90.51,0.0,0.79,50,0,5.344322461333333,mt-zrf
149,150,1,80.99,90.51,0.79,1.57,50,0,10.239756931,mt-zrf
150,151,1,80.99,90.51,1.57,2.36,50,0,8.501807839333333,mt-zrf
151,152,1,80.99,90.51,2.36,3.14,50,0,7.763095025999999,mt-zrf
152,1,2,-14.29,-4.76,-0.79,0.0,50,294,7.605135537000001,mt-zrf
153,2,2,-14.29,-4.76,-1.57,-0.79,50,981,5.133904263,mt-zrf
154,3,2,-14.29,-4.76,-2.36,-1.57,50,1154,4.277473457,mt-zrf
155,4,2,-14.29,-4.76,-3.14,-2.36,50,206,3.68637574,mt-zrf
156,5,2,-14.29,-4.76,0.0,0.79,50,104,8.493903032,mt-zrf
157,6,2,-14.29,-4.76,0.79,1.57,50,13,12.9054195,mt-zrf
158,7,2,-14.29,-4.76,1.57,2.36,50,244,16.3143793,mt-zrf
159,8,2,-14.29,-4.76,2.36,3.14,50,181,9.585606192,mt-zrf
160,9,2,-23.82,-14.29,-0.79,0.0,50,679,3.344776552,mt-zrf
161,10,2,-23.82,-14.29,-1.57,-0.79,50,1161,3.7985958969999998,mt-zrf
