"","Index","min_alpha","max_alpha","min_theta","max_theta","num","pts","r","stype"
"227",3,"-23.82","-14.29","0.0","0.79","50","124","0.863547913","mt-at"
"228",3,"-23.82","-14.29","0.79","1.57","50","194","0.955303602","mt-at"
"229",3,"-23.82","-14.29","1.57","2.36","50","253","1.66898445","mt-at"
"230",3,"-23.82","-14.29","2.36","3.14","50","0","0.524593557","mt-at"
"231",3,"-33.35","-23.82","-0.79","0.0","50","491","1.988420751","mt-at"
"232",3,"-33.35","-23.82","-1.57","-0.79","50","91","1.598832753","mt-at"
"233",3,"-33.35","-23.82","-2.36","-1.57","50","200","2.696258785","mt-at"
"234",3,"-33.35","-23.82","-3.14","-2.36","50","583","5.358287297","mt-at"
"235",3,"-33.35","-23.82","0.0","0.79","50","352","2.165011903","mt-at"
"236",3,"-33.35","-23.82","0.79","1.57","50","113","0.801385002","mt-at"
"237",3,"-33.35","-23.82","1.57","2.36","50","174","1.377139145","mt-at"
"238",3,"-33.35","-23.82","2.36","3.14","50","14","0.801141549","mt-at"
"239",3,"-4.76","4.76","-0.79","0.0","50","0",NA,"mt-at"
"240",3,"-4.76","4.76","-1.57","-0.79","50","2","9.181442946","mt-at"
"241",3,"-4.76","4.76","-2.36","-1.57","50","0",NA,"mt-at"
"242",3,"-4.76","4.76","-3.14","-2.36","50","1","9.407760691","mt-at"
"243",3,"-4.76","4.76","0.0","0.79","50","34","10.84416199","mt-at"
"244",3,"-4.76","4.76","0.79","1.57","50","0",NA,"mt-at"
"245",3,"-4.76","4.76","1.57","2.36","50","0",NA,"mt-at"
"246",3,"-4.76","4.76","2.36","3.14","50","0",NA,"mt-at"
"247",3,"-42.88","-33.35","-0.79","0.0","50","147","2.021891451","mt-at"
"248",3,"-42.88","-33.35","-1.57","-0.79","50","485","2.614501462","mt-at"
"249",3,"-42.88","-33.35","-2.36","-1.57","50","844","4.873039686","mt-at"
"250",3,"-42.88","-33.35","-3.14","-2.36","50","88","3.110506315","mt-at"
"251",3,"-42.88","-33.35","0.0","0.79","50","299","1.603763492","mt-at"
"252",3,"-42.88","-33.35","0.79","1.57","50","210","1.587549277","mt-at"
"253",3,"-42.88","-33.35","1.57","2.36","50","7","0.888044694","mt-at"
"254",3,"-42.88","-33.35","2.36","3.14","50","22","0.493714541","mt-at"
"255",3,"-52.4","-42.88","-0.79","0.0","50","86","2.529521325","mt-at"
"256",3,"-52.4","-42.88","-1.57","-0.79","50","93","3.551503992","mt-at"
