"","Index","min_alpha","max_alpha","min_theta","max_theta","num","pts","r","stype"
"193","101","-52.4","-42.88","-0.79","0.0","50","2647","4.891687095","wt-zrf"
"194","101","-52.4","-42.88","-1.57","-0.79","50","679","4.232333851","wt-zrf"
"195","101","-52.4","-42.88","-2.36","-1.57","50","3717","5.685714494","wt-zrf"
"196","101","-52.4","-42.88","-3.14","-2.36","50","7128","6.467605859","wt-zrf"
"197","101","-52.4","-42.88","0.0","0.79","50","7881","9.006369111","wt-zrf"
"198","101","-52.4","-42.88","0.79","1.57","50","8523","11.63516521","wt-zrf"
"199","101","-52.4","-42.88","1.57","2.36","50","576","8.307208558","wt-zrf"
"200","101","-52.4","-42.88","2.36","3.14","50","1136","4.392910924","wt-zrf"
"201","101","-61.93","-52.4","-0.79","0.0","50","2389","3.21663131","wt-zrf"
"202","101","-61.93","-52.4","-1.57","-0.79","50","941","4.019637461","wt-zrf"
"203","101","-61.93","-52.4","-2.36","-1.57","50","4277","5.082608883","wt-zrf"
"204","101","-61.93","-52.4","-3.14","-2.36","50","2157","2.570537844","wt-zrf"
"205","101","-61.93","-52.4","0.0","0.79","50","5090","5.16801725","wt-zrf"
"206","101","-61.93","-52.4","0.79","1.57","50","11233","8.394687989","wt-zrf"
"207","101","-61.93","-52.4","1.57","2.36","50","595","1.39831051","wt-zrf"
"208","101","-61.93","-52.4","2.36","3.14","50","382","1.401697121","wt-zrf"
"209","101","-71.46","-61.93","-0.79","0.0","50","92","1.77974662","wt-zrf"
"210","101","-71.46","-61.93","-1.57","-0.79","50","307","9.186239342","wt-zrf"
"211","101","-71.46","-61.93","-2.36","-1.57","50","184","3.233243568","wt-zrf"
"212","101","-71.46","-61.93","-3.14","-2.36","50","26","0.943140033","wt-zrf"
"213","101","-71.46","-61.93","0.0","0.79","50","845","3.617043128","wt-zrf"
"214","101","-71.46","-61.93","0.79","1.57","50","1935","5.65831298","wt-zrf"
"215","101","-71.46","-61.93","1.57","2.36","50","2","0.776680062","wt-zrf"
"216","101","-71.46","-61.93","2.36","3.14","50","6","0.887642845","wt-zrf"
"217","101","-80.99","-71.46","-0.79","0.0","50","0",NA,"wt-zrf"
"218","101","-80.99","-71.46","-1.57","-0.79","50","3","8.309288783","wt-zrf"
"219","101","-80.99","-71.46","-2.36","-1.57","50","0",NA,"wt-zrf"
"220","101","-80.99","-71.46","-3.14","-2.36","50","0",NA,"wt-zrf"
"221","101","-80.99","-71.46","0.0","0.79","50","0",NA,"wt-zrf"
"222","101","-80.99","-71.46","0.79","1.57","50","0",NA,"wt-zrf"
"223","101","-80.99","-71.46","1.57","2.36","50","0",NA,"wt-zrf"
"224","101","-80.99","-71.46","2.36","3.14","50","0",NA,"wt-zrf"
"225","101","-90.51","-80.99","-0.79","0.0","50","0",NA,"wt-zrf"
"226","101","-90.51","-80.99","-1.57","-0.79","50","0",NA,"wt-zrf"
"227","101","-90.51","-80.99","-2.36","-1.57","50","0",NA,"wt-zrf"
"228","101","-90.51","-80.99","-3.14","-2.36","50","0",NA,"wt-zrf"
"229","101","-90.51","-80.99","0.0","0.79","50","0",NA,"wt-zrf"
"230","101","-90.51","-80.99","0.79","1.57","50","0",NA,"wt-zrf"
"231","101","-90.51","-80.99","1.57","2.36","50","0",NA,"wt-zrf"
"232","101","-90.51","-80.99","2.36","3.14","50","0",NA,"wt-zrf"
"233","101","14.29","23.82","-0.79","0.0","50","546","5.997366601","wt-zrf"
"234","101","14.29","23.82","-1.57","-0.79","50","815","2.268224995","wt-zrf"
