landmark_index,sample_index,min_alpha,max_alpha,min_theta,max_theta,num,pts,r,stype
3,2,-14.29,-4.76,-2.36,-1.57,50,1154,4.277473457,mt-zrf
4,2,-14.29,-4.76,-3.14,-2.36,50,206,3.68637574,mt-zrf
5,2,-14.29,-4.76,0,0.79,50,104,8.493903032,mt-zrf
6,2,-14.29,-4.76,0.79,1.57,50,13,12.9054195,mt-zrf
7,2,-14.29,-4.76,1.57,2.36,50,244,16.3143793,mt-zrf
8,2,-14.29,-4.76,2.36,3.14,50,181,9.585606192,mt-zrf
9,2,-23.82,-14.29,-0.79,0,50,679,3.344776552,mt-zrf
10,2,-23.82,-14.29,-1.57,-0.79,50,1161,3.798595897,mt-zrf
11,2,-23.82,-14.29,-2.36,-1.57,50,1978,3.522444078,mt-zrf
12,2,-23.82,-14.29,-3.14,-2.36,50,1334,4.275805572,mt-zrf
13,2,-23.82,-14.29,0,0.79,50,478,2.418043963,mt-zrf
14,2,-23.82,-14.29,0.79,1.57,50,464,2.035659596,mt-zrf
15,2,-23.82,-14.29,1.57,2.36,50,1311,13.45014758,mt-zrf
16,2,-23.82,-14.29,2.36,3.14,50,1274,4.415633636,mt-zrf
17,2,-33.35,-23.82,-0.79,0,50,82,4.002546847,mt-zrf
18,2,-33.35,-23.82,-1.57,-0.79,50,49,3.424140604,mt-zrf
19,2,-33.35,-23.82,-2.36,-1.57,50,86,1.197706577,mt-zrf
20,2,-33.35,-23.82,-3.14,-2.36,50,653,2.645781831,mt-zrf
21,2,-33.35,-23.82,0,0.79,50,396,6.968918783,mt-zrf
22,2,-33.35,-23.82,0.79,1.57,50,1806,3.537517706,mt-zrf
23,2,-33.35,-23.82,1.57,2.36,50,2101,10.80859091,mt-zrf
24,2,-33.35,-23.82,2.36,3.14,50,1461,11.32793636,mt-zrf
25,2,-4.76,4.76,-0.79,0,50,354,3.973243972,mt-zrf
26,2,-4.76,4.76,-1.57,-0.79,50,903,4.495028696,mt-zrf
27,2,-4.76,4.76,-2.36,-1.57,50,25,5.739406687,mt-zrf
28,2,-4.76,4.76,-3.14,-2.36,50,210,4.122964646,mt-zrf
29,2,-4.76,4.76,0,0.79,50,67,10.67595502,mt-zrf
30,2,-4.76,4.76,0.79,1.57,50,5,11.69099148,mt-zrf
31,2,-4.76,4.76,1.57,2.36,50,172,11.22848371,mt-zrf
32,2,-4.76,4.76,2.36,3.14,50,199,5.049188104,mt-zrf
33,2,-42.88,-33.35,-0.79,0,50,2214,2.825860616,mt-zrf
34,2,-42.88,-33.35,-1.57,-0.79,50,707,2.290594802,mt-zrf
35,2,-42.88,-33.35,-2.36,-1.57,50,581,2.080730018,mt-zrf
36,2,-42.88,-33.35,-3.14,-2.36,50,403,2.046131624,mt-zrf
37,2,-42.88,-33.35,0,0.79,50,2597,3.438023436,mt-zrf
38,2,-42.88,-33.35,0.79,1.57,50,1077,3.039821515,mt-zrf
39,2,-42.88,-33.35,1.57,2.36,50,2731,4.350790728,mt-zrf
40,2,-42.88,-33.35,2.36,3.14,50,1325,3.123826793,mt-zrf
41,2,-52.4,-42.88,-0.79,0,50,7508,4.515731421,mt-zrf
42,2,-52.4,-42.88,-1.57,-0.79,50,4174,3.017788961,mt-zrf
43,2,-52.4,-42.88,-2.36,-1.57,50,2172,2.246644043,mt-zrf
44,2,-52.4,-42.88,-3.14,-2.36,50,2347,2.41119811,mt-zrf
45,2,-52.4,-42.88,0,0.79,50,1901,2.609627205,mt-zrf
46,2,-52.4,-42.88,0.79,1.57,50,1136,1.903432337,mt-zrf
47,2,-52.4,-42.88,1.57,2.36,50,3303,2.8474917,mt-zrf
48,2,-52.4,-42.88,2.36,3.14,50,2609,2.675350952,mt-zrf
49,2,-61.93,-52.4,-0.79,0,50,2573,5.652977821,mt-zrf
50,2,-61.93,-52.4,-1.57,-0.79,50,1877,3.751639924,mt-zrf
51,2,-61.93,-52.4,-2.36,-1.57,50,1090,2.221921352,mt-zrf
52,2,-61.93,-52.4,-3.14,-2.36,50,1175,2.369218695,mt-zrf
53,2,-61.93,-52.4,0,0.79,50,16,1.085356714,mt-zrf
54,2,-61.93,-52.4,0.79,1.57,50,38,0.490996202,mt-zrf
55,2,-61.93,-52.4,1.57,2.36,50,120,1.04047247,mt-zrf
56,2,-61.93,-52.4,2.36,3.14,50,2150,3.170340496,mt-zrf
57,2,-71.46,-61.93,-0.79,0,50,0,NA,mt-zrf
58,2,-71.46,-61.93,-1.57,-0.79,50,1,9.492716817,mt-zrf
59,2,-71.46,-61.93,-2.36,-1.57,50,34,19.2018078,mt-zrf
60,2,-71.46,-61.93,-3.14,-2.36,50,0,NA,mt-zrf
61,2,-71.46,-61.93,0,0.79,50,0,NA,mt-zrf
62,2,-71.46,-61.93,0.79,1.57,50,0,NA,mt-zrf
63,2,-71.46,-61.93,1.57,2.36,50,0,NA,mt-zrf
64,2,-71.46,-61.93,2.36,3.14,50,0,NA,mt-zrf
65,2,-80.99,-71.46,-0.79,0,50,0,NA,mt-zrf
66,2,-80.99,-71.46,-1.57,-0.79,50,0,NA,mt-zrf
67,2,-80.99,-71.46,-2.36,-1.57,50,0,NA,mt-zrf
68,2,-80.99,-71.46,-3.14,-2.36,50,0,NA,mt-zrf
69,2,-80.99,-71.46,0,0.79,50,0,NA,mt-zrf
70,2,-80.99,-71.46,0.79,1.57,50,0,NA,mt-zrf
71,2,-80.99,-71.46,1.57,2.36,50,0,NA,mt-zrf
