sample_index,min_alpha,max_alpha,min_theta,max_theta,num,pts,r,stype,unique_key,landmark_index
334,-90.51,-80.99,-1.57,-0.79,50,0,,mt-zrf,57.64968153,3
335,-90.51,-80.99,-1.57,-0.79,50,0,,mt-zrf,57.64968153,3
336,-90.51,-80.99,-1.57,-0.79,50,0,,mt-zrf,57.64968153,3
337,-90.51,-80.99,-1.57,-0.79,50,0,,mt-zrf,57.64968153,3
338,-90.51,-80.99,-1.57,-0.79,50,0,,mt-zrf,57.64968153,3
339,-90.51,-80.99,-1.57,-0.79,50,0,,mt-zrf,57.64968153,3
340,-90.51,-80.99,-1.57,-0.79,50,0,,mt-zrf,57.64968153,3
4,-90.51,-80.99,-1.57,-0.79,50,0,,mt-zrf,57.64968153,3
5,-90.51,-80.99,-1.57,-0.79,50,0,,mt-zrf,57.64968153,3
6,-90.51,-80.99,-1.57,-0.79,50,0,,mt-zrf,57.64968153,3
1,-90.51,-80.99,-0.79,0,50,0,,mt-zrf,114.5696203,4
101,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,114.5696203,4
102,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,114.5696203,4
103,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,114.5696203,4
104,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,114.5696203,4
105,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,114.5696203,4
106,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,114.5696203,4
107,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,114.5696203,4
108,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,114.5696203,4
109,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,114.5696203,4
110,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,114.5696203,4
111,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,114.5696203,4
112_1,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,114.5696203,4
112_2,-90.51,-80.99,-0.79,0,50,0,,mt-zrf,114.5696203,4
113,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,114.5696203,4
114,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,114.5696203,4
115,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,114.5696203,4
116,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,114.5696203,4
117,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,114.5696203,4
118,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,114.5696203,4
119,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,114.5696203,4
120,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,114.5696203,4
121,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,114.5696203,4
122,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,114.5696203,4
123,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,114.5696203,4
124,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,114.5696203,4
125,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,114.5696203,4
126,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,114.5696203,4
127,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,114.5696203,4
128,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,114.5696203,4
129,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,114.5696203,4
130,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,114.5696203,4
131,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,114.5696203,4
132,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,114.5696203,4
133,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,114.5696203,4
134,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,114.5696203,4
135,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,114.5696203,4
136,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,114.5696203,4
137,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,114.5696203,4
138,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,114.5696203,4
139,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,114.5696203,4
140,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,114.5696203,4
141,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,114.5696203,4
142,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,114.5696203,4
143,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,114.5696203,4
152,-90.51,-80.99,-0.79,0,50,0,,mt-zrf,114.5696203,4
172,-90.51,-80.99,-0.79,0,50,0,,mt-zrf,114.5696203,4
19,-90.51,-80.99,-0.79,0,50,0,,mt-zrf,114.5696203,4
2,-90.51,-80.99,-0.79,0,50,0,,mt-zrf,114.5696203,4
21,-90.51,-80.99,-0.79,0,50,0,,mt-zrf,114.5696203,4
24,-90.51,-80.99,-0.79,0,50,0,,mt-zrf,114.5696203,4
3,-90.51,-80.99,-0.79,0,50,0,,mt-zrf,114.5696203,4
317,-90.51,-80.99,-0.79,0,50,0,,mt-zrf,114.5696203,4
318,-90.51,-80.99,-0.79,0,50,0,,mt-zrf,114.5696203,4
319,-90.51,-80.99,-0.79,0,50,0,,mt-zrf,114.5696203,4
320,-90.51,-80.99,-0.79,0,50,0,,mt-zrf,114.5696203,4
321,-90.51,-80.99,-0.79,0,50,0,,mt-zrf,114.5696203,4
323,-90.51,-80.99,-0.79,0,50,0,,mt-zrf,114.5696203,4
324,-90.51,-80.99,-0.79,0,50,0,,mt-zrf,114.5696203,4
325,-90.51,-80.99,-0.79,0,50,0,,mt-zrf,114.5696203,4
326,-90.51,-80.99,-0.79,0,50,0,,mt-zrf,114.5696203,4
327,-90.51,-80.99,-0.79,0,50,0,,mt-zrf,114.5696203,4
328,-90.51,-80.99,-0.79,0,50,0,,mt-zrf,114.5696203,4
329,-90.51,-80.99,-0.79,0,50,0,,mt-zrf,114.5696203,4
330,-90.51,-80.99,-0.79,0,50,0,,mt-zrf,114.5696203,4
331,-90.51,-80.99,-0.79,0,50,0,,mt-zrf,114.5696203,4
332,-90.51,-80.99,-0.79,0,50,0,,mt-zrf,114.5696203,4
333,-90.51,-80.99,-0.79,0,50,0,,mt-zrf,114.5696203,4
334,-90.51,-80.99,-0.79,0,50,0,,mt-zrf,114.5696203,4
335,-90.51,-80.99,-0.79,0,50,0,,mt-zrf,114.5696203,4
336,-90.51,-80.99,-0.79,0,50,0,,mt-zrf,114.5696203,4
337,-90.51,-80.99,-0.79,0,50,0,,mt-zrf,114.5696203,4
338,-90.51,-80.99,-0.79,0,50,0,,mt-zrf,114.5696203,4
