,landmark_index,pred,ww,wm,mm,mw,sample_id,w_support,m_support,w_precision,w_recall,m_precision,m_recall,w_f1,m_f1,precision,recall,f1
88,89,0,39,3,20,15,135,42,35,0.7222222222222222,0.9285714285714286,0.8695652173913043,0.5714285714285714,0.8125000000000001,0.689655172413793,0.7891963109354414,0.7662337662337663,0.7566614420062696
89,90,1,34,8,22,13,135,42,35,0.723404255319149,0.8095238095238095,0.7333333333333333,0.6285714285714286,0.7640449438202246,0.6769230769230768,0.7279174725983236,0.7272727272727273,0.724444095230612
90,91,1,35,7,24,11,135,42,35,0.7608695652173914,0.8333333333333334,0.7741935483870968,0.6857142857142857,0.7954545454545455,0.7272727272727272,0.766925921203621,0.7662337662337663,0.7644628099173553
91,92,0,34,8,20,15,135,42,35,0.6938775510204082,0.8095238095238095,0.7142857142857143,0.5714285714285714,0.7472527472527472,0.634920634920635,0.7031539888682745,0.7012987012987013,0.6961926961926961
92,93,0,35,7,21,14,135,42,35,0.7142857142857143,0.8333333333333334,0.75,0.6,0.7692307692307692,0.6666666666666665,0.7305194805194806,0.7272727272727273,0.7226107226107226
93,94,0,38,4,24,11,135,42,35,0.7755102040816326,0.9047619047619048,0.8571428571428571,0.6857142857142857,0.8351648351648353,0.7619047619047619,0.8126159554730983,0.8051948051948052,0.8018648018648019
94,95,0,39,3,23,12,135,42,35,0.7647058823529411,0.9285714285714286,0.8846153846153846,0.6571428571428571,0.8387096774193549,0.7540983606557377,0.8192102015631427,0.8051948051948052,0.800249987981347
95,96,0,33,9,27,8,135,42,35,0.8048780487804879,0.7857142857142857,0.75,0.7714285714285715,0.7951807228915663,0.7605633802816902,0.7799334811529933,0.7792207792207793,0.7794455671598045
96,97,0,38,4,24,11,135,42,35,0.7755102040816326,0.9047619047619048,0.8571428571428571,0.6857142857142857,0.8351648351648353,0.7619047619047619,0.8126159554730983,0.8051948051948052,0.8018648018648019
97,98,0,36,6,19,16,135,42,35,0.6923076923076923,0.8571428571428571,0.76,0.5428571428571428,0.7659574468085107,0.6333333333333332,0.7230769230769231,0.7142857142857143,0.7056737588652483
98,99,1,36,6,24,11,135,42,35,0.7659574468085106,0.8571428571428571,0.8,0.6857142857142857,0.8089887640449439,0.7384615384615385,0.781431334622824,0.7792207792207793,0.776930934234305
99,100,0,39,3,21,14,135,42,35,0.7358490566037735,0.9285714285714286,0.875,0.6,0.8210526315789474,0.711864406779661,0.7990994854202401,0.7792207792207793,0.7714216203065446
100,101,0,37,5,22,13,135,42,35,0.74,0.8809523809523809,0.8148148148148148,0.6285714285714286,0.8043478260869565,0.7096774193548386,0.774006734006734,0.7662337662337663,0.7613158230269029
101,102,0,34,8,27,8,135,42,35,0.8095238095238095,0.8095238095238095,0.7714285714285715,0.7714285714285715,0.8095238095238095,0.7714285714285715,0.7922077922077922,0.7922077922077922,0.7922077922077922
102,103,1,39,3,21,14,135,42,35,0.7358490566037735,0.9285714285714286,0.875,0.6,0.8210526315789474,0.711864406779661,0.7990994854202401,0.7792207792207793,0.7714216203065446
103,104,1,34,8,31,4,135,42,35,0.8947368421052632,0.8095238095238095,0.7948717948717948,0.8857142857142857,0.8500000000000001,0.8378378378378378,0.849343638817323,0.8441558441558441,0.8444717444717444
104,105,0,39,3,30,5,135,42,35,0.8863636363636364,0.9285714285714286,0.9090909090909091,0.8571428571428571,0.9069767441860465,0.8823529411764706,0.8966942148760331,0.8961038961038961,0.8957841064544211
105,106,0,37,5,26,9,135,42,35,0.8043478260869565,0.8809523809523809,0.8387096774193549,0.7428571428571429,0.8409090909090908,0.787878787878788,0.8199668494198649,0.8181818181818182,0.8168044077134986
106,107,1,35,7,22,13,135,42,35,0.7291666666666666,0.8333333333333334,0.7586206896551724,0.6285714285714286,0.7777777777777777,0.6875,0.7425548589341693,0.7402597402597403,0.7367424242424242
107,108,0,40,2,16,19,135,42,35,0.6779661016949152,0.9523809523809523,0.8888888888888888,0.45714285714285713,0.7920792079207921,0.6037735849056604,0.7738400958739942,0.7272727272727273,0.7064857429139141
108,109,0,35,7,27,8,135,42,35,0.813953488372093,0.8333333333333334,0.7941176470588235,0.7714285714285715,0.8235294117647058,0.782608695652174,0.8049371968660615,0.8051948051948052,0.8049290862590095
109,110,0,37,5,22,13,135,42,35,0.74,0.8809523809523809,0.8148148148148148,0.6285714285714286,0.8043478260869565,0.7096774193548386,0.774006734006734,0.7662337662337663,0.7613158230269029
110,111,1,37,5,25,10,135,42,35,0.7872340425531915,0.8809523809523809,0.8333333333333334,0.7142857142857143,0.8314606741573034,0.7692307692307692,0.8081882656350742,0.8051948051948052,0.8031743537361515
111,112,1,38,4,28,7,135,42,35,0.8444444444444444,0.9047619047619048,0.875,0.8,0.8735632183908046,0.8358208955223881,0.8583333333333334,0.8571428571428571,0.856407617086979
112,113,1,37,5,31,4,135,42,35,0.9024390243902439,0.8809523809523809,0.8611111111111112,0.8857142857142857,0.8915662650602411,0.8732394366197184,0.8836536092633653,0.8831168831168831,0.8832358884963671
113,114,1,34,8,33,2,135,42,35,0.9444444444444444,0.8095238095238095,0.8048780487804879,0.9428571428571428,0.8717948717948718,0.868421052631579,0.8810051736881006,0.8701298701298701,0.8702613176297386
