,f1,landmark_index,m_f1,m_precision,m_recall,m_support,mm,mw,precision,pred,recall,sample_index,w_f1,w_precision,w_recall,w_support,wm,ww
147,1.0,148,1.0,1.0,1.0,34,34,0,1.0,1,1.0,320,1.0,1.0,1.0,43,0,43
148,1.0,149,1.0,1.0,1.0,34,34,0,1.0,1,1.0,320,1.0,1.0,1.0,43,0,43
149,1.0,150,1.0,1.0,1.0,34,34,0,1.0,1,1.0,320,1.0,1.0,1.0,43,0,43
150,1.0,151,1.0,1.0,1.0,34,34,0,1.0,1,1.0,320,1.0,1.0,1.0,43,0,43
151,1.0,152,1.0,1.0,1.0,34,34,0,1.0,1,1.0,320,1.0,1.0,1.0,43,0,43
0,0.40021645,1,0.0,0.0,0.0,34,0,34,0.311856974,0,0.558441558,334,0.716666667,0.558441558,1.0,43,0,43
1,0.40021645,2,0.0,0.0,0.0,34,0,34,0.311856974,0,0.558441558,334,0.716666667,0.558441558,1.0,43,0,43
2,0.40021645,3,0.0,0.0,0.0,34,0,34,0.311856974,0,0.558441558,334,0.716666667,0.558441558,1.0,43,0,43
3,1.0,4,1.0,1.0,1.0,34,34,0,1.0,1,1.0,334,1.0,1.0,1.0,43,0,43
4,1.0,5,1.0,1.0,1.0,34,34,0,1.0,1,1.0,334,1.0,1.0,1.0,43,0,43
5,1.0,6,1.0,1.0,1.0,34,34,0,1.0,1,1.0,334,1.0,1.0,1.0,43,0,43
6,0.40021645,7,0.0,0.0,0.0,34,0,34,0.311856974,0,0.558441558,334,0.716666667,0.558441558,1.0,43,0,43
7,0.40021645,8,0.0,0.0,0.0,34,0,34,0.311856974,0,0.558441558,334,0.716666667,0.558441558,1.0,43,0,43
8,1.0,9,1.0,1.0,1.0,34,34,0,1.0,1,1.0,334,1.0,1.0,1.0,43,0,43
9,1.0,10,1.0,1.0,1.0,34,34,0,1.0,1,1.0,334,1.0,1.0,1.0,43,0,43
10,0.961092105,11,0.956521739,0.942857143,0.970588235,34,33,1,0.9614718609999999,1,0.961038961,334,0.9647058820000001,0.976190476,0.953488372,43,2,41
11,1.0,12,1.0,1.0,1.0,34,34,0,1.0,1,1.0,334,1.0,1.0,1.0,43,0,43
12,0.986990707,13,0.985074627,1.0,0.970588235,34,33,1,0.9873081459999999,1,0.9870129870000001,334,0.988505747,0.977272727,1.0,43,0,43
13,0.9223418859999999,14,0.916666667,0.8684210529999999,0.970588235,34,33,1,0.9275811909999999,1,0.922077922,334,0.926829268,0.974358974,0.88372093,43,5,38
14,0.986990707,15,0.985074627,1.0,0.970588235,34,33,1,0.9873081459999999,1,0.9870129870000001,334,0.988505747,0.977272727,1.0,43,0,43
15,0.40021645,16,0.0,0.0,0.0,34,0,34,0.311856974,0,0.558441558,334,0.716666667,0.558441558,1.0,43,0,43
16,0.9223418859999999,17,0.916666667,0.8684210529999999,0.970588235,34,33,1,0.9275811909999999,1,0.922077922,334,0.926829268,0.974358974,0.88372093,43,5,38
