,sample_index,landmark_index,pred,ww,wm,mm,mw,sample_id,w_support,m_support,w_precision,w_recall,m_precision,m_recall,w_f1,m_f1,precision,recall,f1
46,328,47,0,24,11,36,7,328,35,43,0.7741935483870968,0.6857142857142857,0.7659574468085106,0.8372093023255814,0.7272727272727272,0.8,0.7696531334142864,0.7692307692307693,0.7673659673659673
47,328,48,0,28,7,35,8,328,35,43,0.7777777777777778,0.8,0.8333333333333334,0.813953488372093,0.7887323943661971,0.8235294117647058,0.8084045584045584,0.8076923076923077,0.8079153654961442
48,328,49,0,23,12,38,5,328,35,43,0.8214285714285714,0.6571428571428571,0.76,0.8837209302325582,0.73015873015873,0.8172043010752689,0.7875641025641026,0.782051282051282,0.7781453910486168
49,328,50,1,24,11,36,7,328,35,43,0.7741935483870968,0.6857142857142857,0.7659574468085106,0.8372093023255814,0.7272727272727272,0.8,0.7696531334142864,0.7692307692307693,0.7673659673659673
50,328,51,0,25,10,35,8,328,35,43,0.7575757575757576,0.7142857142857143,0.7777777777777778,0.813953488372093,0.7352941176470589,0.7954545454545455,0.7687127687127687,0.7692307692307693,0.768459481694776
51,328,52,0,20,15,36,7,328,35,43,0.7407407407407407,0.5714285714285714,0.7058823529411765,0.8372093023255814,0.6451612903225806,0.7659574468085107,0.7215239372102118,0.717948717948718,0.7117540432571319
52,328,53,0,26,9,39,4,328,35,43,0.8666666666666667,0.7428571428571429,0.8125,0.9069767441860465,0.8,0.8571428571428572,0.8368055555555557,0.8333333333333334,0.8315018315018315
53,328,54,0,27,8,26,17,328,35,43,0.6136363636363636,0.7714285714285715,0.7647058823529411,0.6046511627906976,0.6835443037974683,0.6753246753246753,0.6969182778006308,0.6794871794871795,0.6790129701522106
54,328,55,1,17,18,39,4,328,35,43,0.8095238095238095,0.4857142857142857,0.6842105263157895,0.9069767441860465,0.6071428571428571,0.78,0.7404408457040036,0.717948717948718,0.7024358974358974
55,328,56,1,28,7,36,7,328,35,43,0.8,0.8,0.8372093023255814,0.8372093023255814,0.8000000000000002,0.8372093023255814,0.8205128205128205,0.8205128205128205,0.8205128205128205
56,328,57,1,21,14,38,5,328,35,43,0.8076923076923077,0.6,0.7307692307692307,0.8837209302325582,0.6885245901639345,0.8,0.7652859960552268,0.7564102564102564,0.749978982765868
57,328,58,1,28,7,34,9,328,35,43,0.7567567567567568,0.8,0.8292682926829268,0.7906976744186046,0.7777777777777778,0.8095238095238095,0.7967310650237479,0.7948717948717948,0.7952787952787953
58,328,59,1,20,15,37,6,328,35,43,0.7692307692307693,0.5714285714285714,0.7115384615384616,0.8604651162790697,0.6557377049180327,0.7789473684210527,0.7374260355029586,0.7307692307692307,0.7236609809517489
59,328,60,0,20,15,40,3,328,35,43,0.8695652173913043,0.5714285714285714,0.7272727272727273,0.9302325581395349,0.689655172413793,0.8163265306122448,0.7911219215567041,0.7692307692307693,0.759486818600119
60,328,61,1,24,11,35,8,328,35,43,0.75,0.6857142857142857,0.7608695652173914,0.813953488372093,0.7164179104477612,0.7865168539325844,0.7559921962095876,0.7564102564102564,0.7550621998047791
61,328,62,0,26,9,36,7,328,35,43,0.7878787878787878,0.7428571428571429,0.8,0.8372093023255814,0.7647058823529412,0.8181818181818183,0.7945609945609945,0.7948717948717948,0.7941862059509119
62,328,63,1,22,13,32,11,328,35,43,0.6666666666666666,0.6285714285714286,0.7111111111111111,0.7441860465116279,0.6470588235294118,0.7272727272727273,0.6911680911680912,0.6923076923076923,0.6912793089263678
63,328,64,0,25,10,32,11,328,35,43,0.6944444444444444,0.7142857142857143,0.7619047619047619,0.7441860465116279,0.7042253521126761,0.7529411764705882,0.7316341066341067,0.7307692307692307,0.731081511694602
64,328,65,0,26,9,40,3,328,35,43,0.896551724137931,0.7428571428571429,0.8163265306122449,0.9302325581395349,0.8125,0.8695652173913043,0.8523250148865913,0.8461538461538461,0.8439590301003346
65,328,66,0,26,9,33,10,328,35,43,0.7222222222222222,0.7428571428571429,0.7857142857142857,0.7674418604651163,0.732394366197183,0.7764705882352941,0.7572242572242572,0.7564102564102564,0.7566927962951161
66,328,67,1,17,18,36,7,328,35,43,0.7083333333333334,0.4857142857142857,0.6666666666666666,0.8372093023255814,0.576271186440678,0.7422680412371134,0.6853632478632478,0.6794871794871795,0.6677822730592258
67,328,68,1,14,21,36,7,328,35,43,0.6666666666666666,0.4,0.631578947368421,0.8372093023255814,0.5,0.72,0.647323436797121,0.6410256410256411,0.6212820512820512
68,328,69,1,23,12,39,4,328,35,43,0.8518518518518519,0.6571428571428571,0.7647058823529411,0.9069767441860465,0.7419354838709677,0.8297872340425532,0.8038098430255294,0.7948717948717948,0.7903665769142777
69,328,70,1,20,15,37,6,328,35,43,0.7692307692307693,0.5714285714285714,0.7115384615384616,0.8604651162790697,0.6557377049180327,0.7789473684210527,0.7374260355029586,0.7307692307692307,0.7236609809517489
70,328,71,1,25,10,33,10,328,35,43,0.7142857142857143,0.7142857142857143,0.7674418604651163,0.7674418604651163,0.7142857142857143,0.7674418604651162,0.7435897435897436,0.7435897435897436,0.7435897435897436
71,328,72,1,19,16,36,7,328,35,43,0.7307692307692307,0.5428571428571428,0.6923076923076923,0.8372093023255814,0.6229508196721311,0.7578947368421053,0.7095660749506904,0.7051282051282052,0.6973429791376297
72,328,73,1,22,13,37,6,328,35,43,0.7857142857142857,0.6285714285714286,0.74,0.8604651162790697,0.6984126984126985,0.7956989247311828,0.7605128205128205,0.7564102564102564,0.7520448488190424
